"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_6583","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_3072","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_32207","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_4305","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_6101","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_11815","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_17906","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_22255","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_3716","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_12745","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_6846","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_5952","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_11163","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_9108","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_11962","Bacteria","TM6","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_12769","Bacteria","TM6","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_4581","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_29115","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_12671","Bacteria","TM6","SJA-4","unclassified","unclassified","unclassified","unclassified"
"OTU_2227","Bacteria","TM6","SJA-4","unclassified","unclassified","unclassified","unclassified"
