"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"126","OTU_05290","Bacteria","Chloroflexi","S085",NA,NA,NA,NA,0,0,0,0,0.05,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","OTU_05330","Bacteria","Acidobacteria","EC1113",NA,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128","OTU_05334","Bacteria","FCPU426","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","OTU_05358","Bacteria","Acidobacteria","Acidobacteria-5",NA,NA,NA,NA,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131","OTU_05546","Bacteria","OP3","koll11",NA,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132","OTU_05605","Bacteria","Gemmatimonadetes","Gemm-3",NA,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133","OTU_05786","Bacteria","Synergistetes","Synergistia",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135","OTU_05825","Bacteria","OP11","OP11-3",NA,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
"137","OTU_05901","Bacteria","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA,NA,0.02,0.01,0.5,0.12,2.41,0.04,0.02,0.27,1.21,0.04,1.48,0.11,11.46,0.01,4.83,0.3,0.92,0.01,1.56,0.01,0.4,0.01,0.04,0.02,0.11,0.04,0.09,0
"138","OTU_05918","Bacteria","SAR406","AB16",NA,NA,NA,NA,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0
"139","OTU_05924","Bacteria","WS3","PRR-12",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"141","OTU_06021","Bacteria","Elusimicrobia","Endomicrobia",NA,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","OTU_06099","Bacteria","SC4","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","OTU_06142","Bacteria","Spirochaetes","MVP-15",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","OTU_06185","Bacteria","Deferribacteres","Deferribacteres",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","OTU_06571","Bacteria","Acidobacteria","AT-s54",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","OTU_06623","Bacteria","OP3","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","OTU_07190","Bacteria","WS2","SHA-109",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","OTU_07560","Bacteria","Bacteroidetes","Flavobacteria",NA,NA,NA,NA,0,0.01,0.03,0.46,0.07,0.26,0.78,0.29,0,0.49,0,0.19,0,0.08,0.07,2.57,0.02,0.03,0.01,0.05,1.6,0.44,0.1,0.09,0.09,3.58,0,0
"153","OTU_07628","Bacteria","Planctomycetes","vadinHA49",NA,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"157","OTU_08074","Bacteria","AD3","ABS-6",NA,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","OTU_08264","Bacteria","OP11","OP11-4",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
